기업명,설립연차_지울거,기업규모,설립연도,업종,본사_주소,최저_연봉,최고_연봉,평균_연봉,년도,
(주)유비온,업력 26년차,중소기업,2000년 1월 11일 설립,응용 소프트웨어 개발 및 공급업,"서울 구로구 디지털로34길 27, 601호 (구로동,대륭포스트타워3차)","3,046만원","6,881만원","5,358만원",2000년,
주식회사 마스터인사이트,업력 3년차,중소기업,2023년 9월 1일 설립,광고·홍보·전시,경기 안양시 동안구 엘에스로 142 호계 금정역 SK V1 center 704호,,,,2023년,
(주)그룹엠코리아,업력 22년차,중소기업,2004년 6월 30일 설립,광고 대행업,서울 용산구 한강대로 372,"3,428만원","8,861만원","6,589만원",2004년,
(주)제일씨앤씨,업력 19년차,중소기업,2007년 7월 3일 설립,통신ㆍ방송장비 및 부품 도매업,"부산 북구 만덕대로 134, 2층 (덕천동,케이티구포지점)","2,793만원","6,045만원","4,255만원",2007년,
(주)켐트로닉스,업력 29년차,중견기업,1997년 4월 1일 설립,그 외 기타 분류 안된 화학제품 제조업,세종 전동면 배일길 31,,,,1997년,
(주)콤텍시스템,,중견기업,1983년 08월 18일,"시스템 소프트웨어 개발 및 공급업",서울 영등포구 가마산로 (서울 영등포구 대림동),,,,1983년,
(주)스카우트,,중소기업,1998년 06월 02일,"고용 알선업","서울 강남구 언주로 (서울 강남구 역삼동)","2,533만원","5,232만원","3,363만원",1998년,
(주)샤플앤컴퍼니,업력 11년차,중소기업,2015년 12월 31일 설립,컴퓨터 프로그래밍 서비스업,"서울 강남구 도곡로 111, 8층 (역삼동,미진빌딩)","3,462만원","7,545만원","6,119만원",2015년,
에스엔에프코리아(주),,중견기업,1986년 09월 22일,"석유화학계 기초 화학물질 제조업","서울 중구 소공로 (서울 중구 소공동)","4,489만원","9,475만원","8,435만원",1986년,
(주)에이비씨랩스,업력 7년차,중소기업,2019년 6월 11일 설립,데이터베이스 및 온라인정보 제공업,"경기 성남시 수정구 달래내로 46, 206호 (시흥동,성남글로벌융합센터)","3,225만원","6,836만원","5,624만원",2019년,
(주)엘프스,업력 11년차,중소기업,2015년 6월 8일 설립,환경 관련 엔지니어링 서비스업,"서울 강남구 테헤란로 522, 5층","3,008만원","6,471만원","5,135만원",2015년,
에이피써치,,중소기업,2012년 11월 01일,서비스업,"서울 강남구 테헤란로34길 21-8, 금정빌딩 3층(역삼동)",,,,2012년,
채권도시 법률사무소,,중소기업,2023년 10월 20일,법률·법무·특허,서울 강남구 도곡로 218 CNCITY tower 4층 4호,,,,2023년,
(주)미래로시스템,업력 32년차,중소기업,1994년 1월 22일 설립,응용 소프트웨어 개발 및 공급업,"경기도 용인시 기흥구 흥덕중앙로 120 203호,204호,2905호 (영덕동)","4,033만원","9,627만원","8,408만원",1994년,
코워크위더스(주),업력 6년차,중소기업,2020년 9월 15일 설립,데이터베이스 및 온라인정보 제공업,"충남 천안시 서북구 천안천4길 32 (와촌동,도시재생어울림센터)",,,,2020년,
(주)마티니아이오,업력 4년차,중소기업,2022년 10월 7일 설립,광고 대행업,"서울 서초구 서초대로38길 12, 11층 (서초동,마제스타시티타워2)",,,,2022년,
유엔브이코리아 유한책임회사,,대기업,2018년 07월 16일,네트워크·통신·모바일,서울 구로구 디지털로33길 28 우림이비지센터1차 901호,"3,063만원","6,613만원","5,238만원",2018년,
(재)한국마이크로의료로봇연구원,업력 7년차,기타,2019년 1월 24일 설립,의학 및 약학 연구개발업,"광주 북구 첨단과기로208번길 43-26, 305호","3,079만원","6,827만원","5,335만원",2019년,
(주)이엘피,,중소기업,1999년 10월 16일,"전자기 측정, 시험 및 분석기구 제조업","경기 화성시 삼성1로2길 (경기 화성시 석우동)",,,,1999년,
(주)법틀,,중소기업,2017년 07월 18일,"응용 소프트웨어 개발 및 공급업","서울 성동구 아차산로17길 (서울 성동구 성수동2가)",,,,2017년,
(주)마더케이,업력 13년차,중소기업,2013년 8월 27일 설립,위생용 종이제품 제조업,"경기 성남시 분당구 판교로 253, B동 901호 (삼평동,판교이노밸리)",,,,2013년,
엔셀 주식회사,,중소기업,2007년 10월 1일,"응용 소프트웨어 개발 및 공급업","경기 성남시 분당구 성남대로 393, A동 205호","2,971만원","6,297만원","4,314만원",2007년,
(주)링글잉글리시에듀케이션서비스,업력 11년차,중소기업,2015년 5월 29일 설립,온라인 교육 학원,"서울 강남구 테헤란로 415, 오피스동 4층 401호 (삼성동,엘7 강남)",,,,2015년,
(주)커플매치,업력 2년차,중소기업,2024년 6월 26일 설립,시스템 소프트웨어 개발 및 공급업,"서울 성동구 성수일로8길 59, B동 7층 703호 (성수동2가,평화빌딩)",,,,2024년,
(주)레디포스트,업력 7년차,중소기업,2019년 5월 9일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 학동로11길 6, 4층 (논현동,에땅빌딩)","3,083만원","7,064만원","5,475만원",2019년,
(주)소마젠코리아,업력 22년차,중소기업,2004년 12월 2일 설립,제약·보건·바이오,서울 강남구 테헤란로 238 마크로젠빌딩 13층,,,,2004년,
오가노이드사이언스(주),,중소기업,2018년 10월 26일,"의학 및 약학 연구개발업","경기 성남시 분당구 판교로 (경기 성남시 분당구 삼평동)","3,575만원","8,077만원","6,813만원",2018년,
(주)이모티브,,중소기업,2020년 11월 02일,"응용 소프트웨어 개발 및 공급업","서울 강남구 테헤란로86길 (서울 강남구 대치2동)",,,,2020년,
(주)도로,,중소기업,2023년 02월 06일,"기타 공학 연구개발업","경기 안산시 상록구 한양대학로 55 (사동) 창업보육센터 6층 613,614호","2,440만원","5,343만원","3,447만원",2023년,
(주)세온이앤에스,,중소기업,2018년 03월 19일,"컴퓨터시스템 통합 자문 및 구축 서비스업","서울 금천구 디지털로 (서울 금천구 가산동)",,,,2018년,
클라우드호스피탈(주),업력 7년차,중소기업,2019년 7월 31일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"대전 서구 청사로 136, R동 12층 1263호 (월평동,대전무역회관)","3,428만원","7,774만원","6,236만원",2019년,
(주)핫셀러,업력 7년차,중소기업,2019년 4월 12일 설립,컴퓨터 프로그래밍 서비스업,"서울 동대문구 장한로 6, 6층 605호 (장안동,장안빌딩)",,,,2019년,
(주)마크앤컴퍼니,,중소기업,2019년 03월 11일,"투자 자문업 및 투자 일임업","서울 서초구 강남대로 (서울 서초구 서초동)","3,580만원","7,667만원","6,806만원",2019년,
팅크웨어(주),업력 29년차,중견기업,1997년 3월 26일 설립,응용 소프트웨어 개발 및 공급업,"경기 성남시 분당구 판교역로 240, A동 9층","2,980만원","6,851만원","5,196만원",1997년,
(주)멋쟁이사자처럼,,중소기업,2018년 04월 17일,"일반 교과 학원","서울 종로구 종로3길 (서울 종로구 청진동)","3,092만원","6,165만원","5,335만원",2018년,
(주)큐로드,,중소기업,2015년 01월 13일,"모바일 게임 소프트웨어 개발 및 공급업","서울 영등포구 국회대로70길 18, 5층, 6층","2,772만원","5,736만원","4,202만원",2015년,
트리플콤마(주),업력 8년차,중소기업,2018년 10월 25일 설립,모바일 게임 소프트웨어 개발 및 공급업,"서울 강남구 테헤란로 447, 13층 (삼성동,케이비우준타워)","3,916만원","8,434만원","7,143만원",2018년,
(주)버티고우게임즈,업력 20년차,중소기업,2006년 1월 16일 설립,기타 게임 소프트웨어 개발 및 공급업,"서울 강남구 테헤란로26길 12, 12층 (역삼동,제일비전타워)","3,245만원","7,557만원","5,687만원",2006년,
(주)오픈에스지,,중소기업,2007년 01월 23일,"응용 소프트웨어 개발 및 공급업","경기 화성시 동탄첨단산업1로 (경기 화성시 영천동)",,,,2007년,
(주)차이커뮤니케이션,업력 22년차,중소기업,2004년 6월 22일 설립,광고 대행업,"서울 강남구 학동로43길 6, (221비 에비뉴)",,,,2004년,
페이민트(주),,중소기업,2014년 03월 12일,"응용 소프트웨어 개발 및 공급업","서울 성동구 상원1길 (서울 성동구 성수동1가)",,,,2014년,
(주)페이히어,,중소기업,2019년 07월 19일,"시스템 소프트웨어 개발 및 공급업","서울 강남구 강남대로 (서울 강남구 역삼1동)",,,,2019년,
스타법무법인,업력 4년차,중소기업,2022년 4월 6일 설립,변호사업,"서울 강남구 테헤란로 620, A동 17층 (대치동,미래에셋타워)",,,,2022년,
(주)동아테크놀로지,업력 10년차,중소기업,2016년 6월 27일 설립,주형 및 금형 제조업,울산 울주군 웅촌면 와지공단2길 18,"2,809만원","5,936만원","4,479만원",2016년,
(주)지엔에이컴퍼니,,중소기업,2020년 09월 28일,"응용 소프트웨어 개발 및 공급업",충남 아산시 음봉면 산동안길 (충남 아산시 음봉면),,,,2020년,
(주)의식주컴퍼니,,중소기업,2018년 1월 23일,"가정용 세탁업",서울 강서구 양천로60길 40,"2,757만원","5,616만원","4,331만원",2018년,
(주)로아스,업력 6년차,중소기업,2020년 4월 29일 설립,"물질 검사, 측정 및 분석기구 제조업",서울 송파구 송파대로49길 55,"2,988만원","5,986만원","4,578만원",2020년,
(주)아이덴티티게임즈,업력 19년차,중견기업,2007년 4월 5일 설립,유선 온라인 게임 소프트웨어 개발 및 공급업,"서울 중구 서애로 33, 2-3층","3,054만원","7,479만원","5,242만원",2007년,
(사)넥스트,,중소기업,2020년 9월 1일 설립,"기타 인문 및 사회과학 연구개발업","서울 강남구 봉은사로 213, 8층","3,862만원","7,801만원","7,052만원",2020년,
(주)하이테커,,중소기업,2009년 02월 13일,"시스템 소프트웨어 개발 및 공급업","서울 성동구 상원12길 (서울 성동구 성수1가2동)","2,615만원","5,956만원","3,819만원",2009년,
(주)에이아이비드,,중소기업,2018년 04월 11일,"데이터베이스 및 온라인정보 제공업","대전 서구 둔산로 (대전 서구 둔산2동)","2,815만원","6,004만원","4,585만원",2018년,
(주)에스엠코어,업력 37년차,대기업,1989년 8월 22일 설립,기타 물품 취급장비 제조업,"서울 중구 후암로 110, 20층 (남대문로5가,서울시티타워)","3,372만원","6,548만원","5,848만원",1989년,
(주)나스미디어,업력 26년차,대기업,2000년 3월 13일 설립,광고 대행업,"서울 강남구 도곡로1길 14, 3층,4층,5층 (역삼동,삼일프라자)","3,327만원","7,838만원","5,958만원",2000년,
루터스컴퍼니,업력 3년차,중소기업,2023년 4월 6일 설립,광고·홍보·전시,서울 강남구 테헤란로 123 여삼빌딩,,,,2023년,
(주)몬데인컨설팅,,중소기업,2020년 06월 30일,응용 소프트웨어 개발 및 공급업,"서울 강남구 봉은사로24길 11, 3층","2,735만원","5,775만원","3,887만원",2020년,
제이앤피에이치알컨설팅,,중소기업,2017년 11월 02일,고용 알선업,"서울 강남구 테헤란로 (서울 강남구 역삼1동)",,,,2017년,
위메진소프트,,중소기업,2013년 03월 27일,시스템 소프트웨어 개발 및 공급업,"서울 영등포구 당산로41길 11, E동 13층 1303호",,,,2013년,
(주)팜스빌,,중소기업,2000년 03월 15일,"건강기능식품 제조업","서울 강서구 마곡중앙8로3길 (서울 강서구 마곡동)","2,529만원","5,639만원","3,677만원",2000년,
(주)오누이,업력 10년차,중소기업,2016년 3월 16일 설립,기타 교육지원 서비스업,"서울 마포구 연희로 11, 4층 (동교동,한국특허정보원빌딩)","2,914만원","6,099만원","4,874만원",2016년,
범호아이티(주),업력 5년차,중소기업,2021년 1월 26일 설립,응용 소프트웨어 개발 및 공급업,"대구 동구 동대구로 465, 906호 (신천동,대구스케일업허브)","2,941만원","6,679만원","4,982만원",2021년,
(주)오너클랜,업력 14년차,중소기업,2012년 6월 22일 설립,전자상거래 소매 중개업,서울 서초구 강남대로99길 23-8,"2,630만원","6,042만원","4,115만원",2012년,
(주)하이컨시,,중견기업,2016년 11월 11일,"일반 교과 학원","서울 강남구 도곡로 (서울 강남구 대치동)","2,755만원","5,951만원","4,327만원",2016년,
(주)월드와이드비즈니스웹,업력 2년차,중소기업,2024년 4월 19일 설립,응용 소프트웨어 개발 및 공급업,"대전 서구 둔산중로40번길 20, 3층",,,,2024년,
(주)뷰리드 강남오피스,,중소기업,2018년 8월 6일 설립,광고·홍보·전시,서울 강남구 테헤란로10길 18 하나빌딩 8층,,,,2018년,
와디즈 주식회사,,중소기업,2019년 4월 23일,경영 컨설팅업,경기 성남시 분당구,"3,596만원","7,801만원","6,919만원",2019년,
캐롯손해보험(주),업력 7년차,대기업,2019년 5월 15일 설립,손해 보험업,서울 중구,"3,432만원","8,604만원","6,098만원",2019년,
(주)씨제이메조미디어,,대기업,1999년 4월 12일 설립,광고·홍보·전시,서울 중구,"3,900만원","8,757만원","7,764만원",1999년,
(주)코드스테이츠,업력 8년차,중소기업,2018년 1월 25일 설립,기타 교육지원 서비스업,서울 강남구,"3,101만원","6,421만원","5,353만원",2018년,
(주)카택스,업력 9년차,중소기업,2017년 3월 7일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"대구 달서구 중흥로 20, 405호 (송현동,중소기업성장지원센터)","2,750만원","6,094만원","4,069만원",2017년,
닐슨아이큐서비스코리아(유),,중소기업,2014년 10월 1일 설립,시장조사 및 여론조사업,서울 중구 서소문로 50,"3,069만원","6,590만원","5,303만원",2014년,
(주)원유니버스,업력 15년차,중소기업,2011년 8월 8일 설립,기타 게임 소프트웨어 개발 및 공급업,"서울 강남구 테헤란로77길 14, 3층 (삼성동,이에스타워)","3,377만원","7,376만원","5,935만원",2011년,
글로벌엠아이지,업력 11년차,중소기업,2015년 5월 22일 설립,광고 대행업,"서울 성동구 성수이로 65, 6층 (성수동2가,협성빌딩)","2,615만원","5,958만원","4,088만원",2015년,
에브리봇(주),,중소기업,2015년 1월 6일 설립,기타 가정용 전기기기 제조업,"경기 성남시 분당구 판교역로 231, S동 10층","3,024만원","6,749만원","5,115만원",2015년,
어스얼라이언스(주),업력 15년차,중소기업,2011년 11월 22일 설립,데이터베이스 및 온라인정보 제공업,"서울 마포구 양화로 78-22, 3층","3,272만원","7,018만원","5,790만원",2011년,
씨제이포디플렉스(주),업력 16년차,대기업,2010년 10월 19일 설립,기타 공학 연구개발업,"서울 용산구 한강대로23길 55, 8층 (한강로3가,아이파크몰)","3,720만원","8,023만원","6,745만원",2010년,
와이엠플러스,,중소기업,2019년 10월 8일 설립,응용 소프트웨어 개발 및 공급업,"서울 성동구 연무장5가길 25, 803호",,,,2019년,
(주)에코에이블,업력 14년차,중소기업,2012년 6월 21일 설립,환경 관련 엔지니어링 서비스업,"서울 강남구 논현로10길 24, 지하1층","3,713만원","7,563만원","6,708만원",2012년,
(주)클라모스,업력 9년차,중소기업,2017년 1월 11일 설립,시스템 소프트웨어 개발 및 공급업,"서울 구로구 디지털로 242, 제7층 제708호,제709호 (구로동,한화비즈메트로1차)",,,,2017년,
CJ(주),업력 73년차,대기업,1953년 8월 1일 설립,지주회사,서울 중구 소월로2길 12,"4,716만원","9,994만원","9,802만원",1953년,
퓨처메인(주),업력 12년차,중소기업,2014년 10월 7일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"경기 수원시 영통구 법조로 25, 20층 10호 (하동,에스케이뷰레이크타워)","3,030만원","7,037만원","5,170만원",2014년,
앤시스코리아유한책임회사,업력 21년차,중소기업,2005년 3월 22일 설립,응용 소프트웨어 개발 및 공급업,"서울 중구 퇴계로 100, 20층 (회현동2가,스테이트타워남산)","4,859만원","10,116만원","9,481만원",2005년,
(주)산타,업력 10년차,중소기업,2016년 10월 27일 설립,기타 교육지원 서비스업,"부산 해운대구 센텀중앙로 97, A동 1310호 (재송동,센텀스카이비즈)","3,097만원","6,520만원","5,577만원",2016년,
(주)에스티유니타스,,중소기업,2010년 3월 26일 설립,기타 교육지원 서비스업,"서울 구로구 경인로 662, 30층","3,038만원","6,387만원","5,192만원",2010년,
KN홀딩스,,중소기업,2020년 10월 21일 설립,광고·홍보·전시,경기 안양시 동안구 평촌대로396번길 19-10(비산동),,,,2020년,
일성 유한책임회사,,중소기업,2013년 6월 18일 설립,화장품/뷰티,대구 동구 화랑로 151,,,,2013년,
주식회사 링커리어,업력 15년차,중소기업,2011년 5월 12일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 역삼로3길 17, 7층 (역삼동,혜진빌딩)",,,,2011년,
(주)그로스인터랙티브,,중소기업,2021년 08월 24일 설립,광고 대행업,"서울 영등포구 당산로41길 11, 이동 1802호-1805호 (당산동4가,당산에스케이브이1센터)","2,515만원","5,218만원","3,781만원",2021년,
(주)트래블월렛,업력 9년차,중소기업,2017년 10월 13일 설립,그 외 기타 금융 지원 서비스업,"서울 강남구 강남대로 542, 5층,6층 (논현동,영풍빌딩)","4,222만원","9,154만원","7,837만원",2017년,
(주)컬리,업력 12년차,중소기업,2014년 12월 31일 설립,전자상거래 소매업,"서울 강남구 테헤란로 133, 18층","2,990만원","5,689만원","4,800만원",2014년,
슈어엠(주),업력 26년차,중소기업,2000년 3월 23일 설립,응용 소프트웨어 개발 및 공급업,"서울 광진구 광나루로56길 85, C동 8층 088호 (구의동,테크노-마트21)","2,909만원","6,561만원","4,761만원",2000년,
(주)셀러허브,,중소기업,2012년 07월 31일 설립,전자상거래 소매 중개업,서울 강남구 테헤란로79길 (서울 강남구 삼성2동),,,,2012년,
(주)드림어스컴퍼니,업력 27년차,대기업,1999년 1월 20일 설립,포털 및 기타 인터넷 정보매개 서비스업,서울 서초구 강남대로 311,"3,188만원","8,238만원","5,637만원",1999년,
(주)크레셈,업력 12년차,중소기업,2014년 6월 2일 설립,반도체 제조용 기계 제조업,인천 연수구 벤처로36번길 37,"3,443만원","7,684만원","6,324만원",2014년,
(주)짐싸,업력 9년차,중소기업,2017년 10월 10일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 테헤란로 302, 14층 (역삼동,위워크타워)","3,087만원","7,147만원","5,491만원",2017년,
(주)윙스,업력 3년차,중소기업,2023년 4월 19일 설립,응용 소프트웨어 개발 및 공급업,"광주 북구 첨단연신로 45, A동 715호 (연제동,첨단리채비즈타워)","2,571만원","5,424만원","3,385만원",2023년,
앰플랩(주),업력 1년차,중소기업,2025년 1월 7일 설립,응용 소프트웨어 개발 및 공급업,"세종 나성로 33-6, 503-2호 (나성동,에이스타워)",,,,2025년,
(주)한독,,중견기업,1958년 08월 19일,생물 의약품 제조업,서울 강남구 테헤란로 (서울 강남구 역삼동),"3,667만원","8,766만원","7,362만원",1958년,
(주)이공이공,업력 7년차,중소기업,2019년 4월 2일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 서운로6길 22, 2층",,,,2019년,
(주)서원정보,업력 14년차,중소기업,2012년 11월 1일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 강남대로 351, 11층 (서초동,청남빌딩)","3,302만원","7,653만원","6,218만원",2012년,
(주)세이프닥,,중소기업,2018년 06월 21일 설립,데이터베이스 및 온라인정보 제공업,서울 강남구 테헤란로19길 (서울 강남구 역삼1동),,,,2018년,
리코넷,업력 6년차,중소기업,2020년 4월 26일 설립,광고·홍보·전시,"경기 고양시 덕양구 꽃마을로 64 DMC스타허브플러스, 15층 1528호",,,,2020년,
(주)맨파워코리아,업력 27년차,중견기업,1999년 1월 18일 설립,상용 인력 공급 및 인사관리 서비스업,"서울 강남구 테헤란로 409 (삼성동,동신빌딩)","2,631만원","5,000만원","3,838만원",1999년,
(주)웨비나스,업력 15년차,중소기업,2011년 12월 26일 설립,응용 소프트웨어 개발 및 공급업,"서울 영등포구 선유로49길 23, 209호 (양평동4가,선유도역2차아이에스비즈타워)","2,675만원","6,045만원","4,072만원",2011년,
전라남도농업기술원,,공공기관,1998년 12월 설립,,전남 나주시 산포면 세남로 1508 농업기술원,"2,443만원","5,087만원","3,557만원",1998년,
(주)티엠씨케이,,중소기업,2012년 09월 20일 설립,광고 대행업,"서울 서초구 강남대로 263, 3층, 5층",,,,2012년,
(주)티씨컴퍼니,업력 11년차,중소기업,2015년 6월 12일 설립,포털 및 기타 인터넷 정보매개 서비스업,"서울 마포구 백범로 35, 아루페관 207호","2,776만원","6,752만원","4,431만원",2015년,
엘지유니참(주),업력 32년차,중견기업,1994년 10월 12일 설립,위생용 종이제품 제조업,경북 구미시 수출대로 97,"4,273만원","8,860만원","7,989만원",1994년,
(주)엔에스씨비씨,업력 12년차,중소기업,2014년 12월 26일 설립,시스템 소프트웨어 개발 및 공급업,"서울 강서구 양천로 583, B동 1102호","4,317만원","9,005만원","7,990만원",2014년,
(주)더워터멜론티더블유씨,업력 6년차,중소기업,2020년 1월 3일 설립,경영 컨설팅업,"서울 강남구 언주로 727, 2층 (논현동,트리스빌딩)","3,464만원","7,432만원","6,386만원",2020년,
(주)젤로,업력 5년차,중소기업,2021년 8월 11일 설립,시스템 소프트웨어 개발 및 공급업,부산 남구 전포대로 (부산 남구 문현4동),,,,2021년,
주식회사지니앤디,업력 2년차,중소기업,2024년 3월 1일 설립,광고·홍보·전시,서울 강남구 논현로 412 프라임빌딩 6층,,,,2024년,
(주)위두소프트,업력 15년차,중소기업,2011년 5월 26일 설립,시스템 소프트웨어 개발 및 공급업,"서울 마포구 양화로 186, 5층","2,624만원","5,906만원","3,660만원",2011년,
(주)디케이앤디,업력 26년차,중소기업,2000년 5월 12일 설립,플라스틱 합성피혁 제조업,경기 안산시 단원구 별망로 345,"2,925만원","6,332만원","4,842만원",2000년,
(주)씨메스,업력 12년차,중소기업,2014년 8월 28일 설립,그 외 기타 특수목적용 기계 제조업,"서울 강남구 도산대로 318, 7층 1, 2호 (논현동,에스비타워)","3,448만원","7,405만원","6,024만원",2014년,
(주)엠디에스테크,,중견기업,1998년 12월 29일 설립,응용 소프트웨어 개발 및 공급업,경기 성남시 분당구 대왕판교로644번길 (경기 성남시 분당구 삼평동),"3,301만원","7,618만원","6,212만원",1998년,
(주)맘편한세상,,중소기업,2016년 12월 6일 설립,포털 및 기타 인터넷 정보매개 서비스업,서울 서초구,"3,430만원","7,974만원","6,245만원",2016년,
(주)옵토마인드,업력 15년차,중소기업,2011년 2월 23일 설립,전기용 기계ㆍ장비 및 관련 기자재 도매업,"경기 수원시 영통구 덕영대로1556번길 16, B동 3층 301호 (영통동,디지털엠파이어빌딩)","3,163만원","6,698만원","5,553만원",2011년,
스푼(주),업력 28년차,대기업,1998년 12월 14일 설립,광고 대행업,"서울 강남구 논현로 706, 3층 7층 (논현동,아이캐슬빌딩)","3,626만원","7,884만원","6,672만원",1998년,
(주)업테라,,중소기업,2018년 7월 19일 설립,의학 및 약학 연구개발업,대구 북구 호암로 (대구 북구 침산동),"3,727만원","8,087만원","6,760만원",2018년,
(주)메타써치,업력 5년차,중소기업,2021년 11월 10일 설립,상용 인력 공급 및 인사관리 서비스업,"서울 강남구 테헤란로53길 23, 3층",,,,2021년,
(주)함파트너스,업력 19년차,중소기업,2007년 2월 23일 설립,광고 대행업,"서울 마포구 마포대로 89, 4층 (도화동,포스트타워)",,,,2007년,
플러스메이커스,,중소기업,2019년 04월 08일 설립,광고 대행업,대구 동구 동부로12길 (대구 동구 신천3동),,,,2019년,
(주)프레인글로벌,업력 26년차,중소기업,2000년 7월 20일 설립,광고 대행업,"서울 중구 칠패로 37, 12층, 14층","2,860만원","7,145만원","4,711만원",2000년,
해커스교육그룹,업력 19년차,중소기업,2007년 1월 2일 설립,온라인 교육 학원,"서울 서초구 강남대로61길 23, 203호",,,,2007년,
에스넷시스템(주),업력 27년차,중견기업,1999년 2월 8일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"서울 강남구 선릉로 514, 10층 (삼성동,성원빌딩)",,,,1999년,
제로백,업력 3년차,중소기업,2023년 4월 18일 설립,광고·홍보·전시,대구 달서구 달구벌대로 1698,,,,2023년,
(주)우아한형제들,,중소기업,2011년 3월 10일 설립,응용 소프트웨어 개발 및 공급업,"서울 송파구 위례성대로 2 (방이동,장은빌딩)","4,134만원","9,629만원","9,204만원",2011년,
(주)앳플리,,중소기업,1994년 01월 31일 설립,운동 및 경기용품 도매업,서울 강남구 강남대로146길 (서울 강남구 논현1동),,,,1994년,
(주)스냅컴퍼니,,중소기업,2017년 06월 21일,시스템 소프트웨어 개발 및 공급업,서울 강남구 테헤란로32길 (서울 강남구 역삼2동),,,,2017년,
(주)다래전략사업화센터,,중소기업,2015년 09월 09일,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",서울 강남구 테헤란로 (서울 강남구 역삼동),,,,2015년,
(주)메이크인,업력 13년차,중소기업,2013년 2월 19일 설립,상용 인력 공급 및 인사관리 서비스업,"서울 중구 퇴계로 344 (광희동2가,메이크빌딩)",,,,2013년,
와이케이기획(주),업력 3년차,중소기업,2023년 9월 27일 설립,광고 대행업,"서울 강남구 강남대로94길 10, 901호",,,,2023년,
이투스에듀(주),업력 4년차,중소기업,2022년 5월 2일 설립,온라인 교육 학원,서울 강남구 강남대로94길 30,"2,796만원","5,784만원","4,617만원",2022년,
(주)티처케이,업력 6년차,중소기업,2020년 11월 6일 설립,데이터베이스 및 온라인정보 제공업,"서울 강남구 테헤란로6길 33, 2층 (역삼동,와이앤케이빌딩)","3,034만원","6,001만원","4,653만원",2020년,
(주)인비고웍스,업력 3년차,중소기업,2023년 10월 20일 설립,응용 소프트웨어 개발 및 공급업,"경기 성남시 분당구 대왕판교로645번길 12, R동 8층 12호","2,983만원","6,647만원","5,106만원",2023년,
디엑솜,업력 9년차,중소기업,2017년 6월 12일 설립,의료용품 및 기타 의약 관련제품 제조업,"경기 성남시 중원구 사기막골로45번길 14, B동 1212호 (상대원동,우림라이온스밸리2차)","3,661만원","7,747만원","6,971만원",2017년,
(주)매경닷컴,업력 27년차,중견기업,1999년 10월 12일 설립,데이터베이스 및 온라인정보 제공업,서울 중구 퇴계로 190,"3,122만원","7,131만원","5,437만원",1999년,
(주)모노플로우,,중소기업,2022년 08월 01일,응용 소프트웨어 개발 및 공급업,전북 전주시 덕진구 기린대로 (전북 전주시 덕진구 여의동2가),"2,475만원","5,439만원","3,341만원",2022년,
(주)아이티센엔텍,업력 45년차,중견기업,1981년 12월 8일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"경기 과천시 과천대로12길 117, 제이동 비101,201,301,401,501호 (갈현동,과천펜타원)",,,,1981년,
주식회사고픽커뮤니케이션,,중소기업,2023년 6월 27일 설립,데이터베이스 및 온라인정보 제공업,서울 성동구 왕십리로16가길 30-12,"2,954만원","6,129만원","4,964만원",2023년,
(주)엔클로니,업력 13년차,중소기업,2013년 11월 5일 설립,그 외 기타 특수목적용 기계 제조업,"서울 구로구 디지털로 243, 19층 1901호 (구로동,지하이시티)","3,112만원","6,724만원","5,376만원",2013년,
디알엑스(주),,중소기업,2019년 07월 09일 설립,응용 소프트웨어 개발 및 공급업,서울 마포구 독막로7길 (서울 마포구 서교동),,,,2019년,
주식회사 명품입찰,업력 10년차,중소기업,2016년 8월 26일 설립,기타 통신 판매업,"대전 동구 계족로 459, 1층",,,,2016년,
농업회사법인(주)민속친한우,업력 7년차,중소기업,2019년 2월 20일 설립,육류 도매업,대구 군위군 군위읍 경북대로 4052,"2,808만원","5,893만원","4,528만원",2019년,
(주)미소앤클라우드,,중소기업,2019년 10월 8일 설립,응용 소프트웨어 개발 및 공급업,경기 성남시 분당구 미금일로90번길 (경기 성남시 분당구 구미동),"2,654만원","5,551만원","3,545만원",2019년,
(주)오비고,,중소기업,2003년 03월 18일,시스템 소프트웨어 개발 및 공급업,경기 성남시 분당구 판교로 (경기 성남시 분당구 삼평동),"3,641만원","8,459만원","6,988만원",2003년,
(주)세마그룹,,중소기업,2008년 01월 17일,경영 컨설팅업,"대구 수성구 알파시티1로42길 11, 622호 (대흥동,태왕알파시티수성)",,,,2008년,
(주)산소프트,업력 5년차,중소기업,2021년 6월 7일 설립,응용 소프트웨어 개발 및 공급업,"경기 구리시 산마루로 5, 307호","4,156만원","8,727만원","7,960만원",2021년,
(주)오톰,업력 15년차,중소기업,2011년 2월 22일 설립,방사선 장치 제조업,광주 북구 우치로880번길 29,,,,2011년,
