기업명,설립연차_지울거,기업규모,설립연도,업종,본사_주소,최저_연봉,최고_연봉,평균_연봉,년도,
(주)엘앤제이테크,업력 11년차,중소기업,2015년 6월 10일 설립,응용 소프트웨어 개발 및 공급업,"서울 구로구 디지털로 272, 611호 (구로동,한신아이티타워)","2,813만원","6,251만원","4,219만원",2015년,
(주)블루프리즘코리아,업력 25년차,중소기업,2020년 11월 18일,응용 소프트웨어 개발 및 공급업,서울 서초구 강남대로 311 한화생명보험빌딩 12층 1206호,,,,2020년,
주식회사 이지서티,업력 2년차,중소기업,2024년 8월 2일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 선릉로 577, 5층 (역삼동,조선내화빌딩)",,,,2024년,
메가존(주),업력 25년차,중견기업,2001년 3월 17일 설립,호스팅 및 관련 서비스업,"서울 강남구 논현로85길 46, 6층, 7층 (역삼동,메가존빌딩)",,,,2001년,
(주)아이센스,업력 26년차,중견기업,2000년 5월 4일 설립,전기식 진단 및 요법 기기 제조업,서울 서초구 반포대로28길 43,,,,2000년,
(주)알스퀘어,업력 17년차,중소기업,2009년 11월 3일 설립,비주거용 부동산 관리업,"서울 강남구 테헤란로 311, 3층 (역삼동,아남타워빌딩)","3,706만원","7,323만원","6,687만원",2009년,
서울특별시남부여성발전센터,,공공기관,1979년 1월 1일 설립,그 외 기타 협회 및 단체,서울 금천구 독산로50길 23,,,,1979년,
포인드(주),,중소기업,2017년 2월 8일 설립,"솔루션,SI,CRM,ERP",경북 구미시,,,,2017년,
(주)뉴큐어엠,,중소기업,2022년 6월 3일 설립 ,도매 및 소매업,서울 서대문구,,,,2022년,
제스트주식회사,,중소기업,2015년 3월 11일 설립,제조업,경기도 시흥시,,,,2015년,
(주)지니수,업력 4년차,중소기업,2022년 1월 3일 설립,경영 컨설팅업,"대전 유성구 계룡로105번길 15, 2층 203호","2,587만원","5,254만원","3,556만원",2022년,
(주)피닉스다트,업력 17년차,중소기업,2009년 1월 2일 설립,영상게임기 제조업,"서울 구로구 디지털로26길 111, 306호 (구로동,제이엔케이디지털타워)","2,891만원","6,795만원","4,626만원",2009년,
