기업명,기업공고,지원방법,직업 관련,지역,경력,학위,정규직 유무
㈜폴리큐브,웹/앱 프런트 및 백엔드 프로그래머를 모십니다.,입사지원,"웹개발, 백엔드/서버개발, 앱개발, 유지보수, 프론트엔드",서울강남구,경력무관,대졸↑,정규직·계약직
대상(주),"대상㈜ 25년 3,4월 R&D직군 신입/경력 모집",홈페이지 지원,"정보보안, 정보통신, 더존, 기업회계, 부가세신고",서울강서구,신입·경력,대졸↑,정규직
쿠리타한수(주),2025년 상반기 신입·경력사원 수시채용,입사지원,"유지보수, 총무, 전산총무, 채용담당자, HRD",경기성남시,신입·경력,고졸↑,정규직·계약직
코스맥스비티아이(주),2025년 상반기 코스맥스그룹 신입사원 모집,홈페이지 지원,"관리회계, 기업회계, 내부감사, 법인결산, 세무기장",경기화성시,신입,대졸↑,정규직
(주)월덱스,㈜월덱스 각 부문 신입/경력 공개채용,입사지원,"감사, IR/공시, 내부감사, 외부감사, 자금관리",경북구미시,신입·경력,초대졸↑,정규직
(주)우전지앤에프,[효성계열사] 우전지앤에프 증설인력 신입/경력 모집,입사지원,"계산서발행, 관리회계, 기업회계, 세무회계, 원가관리",경북포항시 북구,경력,고졸↑,정규직
(주)광주은행,2025년 상반기 신입행원 채용공고,홈페이지 지원,"사무직, 사무보조, 영업관리, 영업지원, 영업직",전국,신입,대졸↑,정규직
(주)엘케이엔지니어링,(주)엘케이엔지니어링 신입/경력사원 모집,입사지원,"연구원, 단순생산직, 생산관리, 설비OP, 외관검사원",경기화성시,경력무관,초대졸↑,정규직
(주)엔씨파이낸스대부,[소비자금융 사무직] 각 부문 신입/경력사원 모집,입사지원,"감사, 전산회계, 더존, 관리회계, 기업회계",서울구로구,신입·경력,고졸↑,정규직
제네톡스(주),제네톡스(주) 부문별 신입/경력직 채용,입사지원,"더존, 관리회계, 기업회계, 임상시험, 해외영업",강원횡성군,신입·경력,학력무관,정규직
(주)에코프로비엠,"[에코프로BM] 연구개발, 영업, 플랜트, 안전환경 부문 경력 채용",홈페이지 지원,"보건관리자, 기술영업, 영업관리, 영업전략, 연구원",충북청주시 청원구,경력3년↑,대졸↑,정규직·계약직
(주)렉스트림,(주)렉스트림 경영관리팀 (재무/총무 부문) 채용,입사지원,"세무기장, 세무신고, 세무조정, 연결회계, 재무제표",서울성동구,경력무관,학력무관,정규직·계약직
(주)셀티움,"신약개발 연구원 [유기합성, 분자모델, 생명과학][전 직급]",입사지원,"연구원, R&D, R&D기획, 기술연구, 동물실험",경기수원시 영통구,경력무관,석사↑,정규직
구로성심병원,구로성심병원 진단검사의학과 정규직 임상병리사 모집,입사지원,"임상병리사, 청능사/청각사, 조직병리, 병리과, 진단검사의학과",서울구로구,신입·경력,초대졸↑,정규직
한국표준협회,[무료교육] intel AI 인재양성 교육생 모집,홈페이지 지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",서울강남구,경력무관,학력무관,교육생
(주)크레이버코퍼레이션,[ Craver ] 글로벌 뷰티 화장품 브랜드 SKIN1004 데이터 분석 인턴 채용,홈페이지 지원,"데이터분석가, 빅데이터, 데이터엔지니어, Python, 데이터시각화",서울강남구,신입·경력,학력무관,인턴직
(주)심네트,"데이터 분석(국방분야) 전문 분석관 모집(IT, 데이터 분석)",입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, Python, 데이터시각화",서울용산구,신입,대졸↑,정규직·계약직
주식회사 스타팅웨이브,하이퍼캐주얼 게임 부문별 채용공고,입사지원,"데이터분석가, 데이터엔지니어, 데이터마이닝, 게임개발, 기술지원",서울성동구,신입·경력,학력무관,정규직
