기업명,기업공고,지원방법,직업 관련,지역,경력,학위,정규직 유무
루터스컴퍼니,그로스/퍼포먼스 마케터 채용,입사지원,"마케팅기획, 마케팅전략, 콘텐츠기획, 광고마케팅, 기업홍보",서울강남구,신입·경력,고졸↑,정규직
(주)더오름,인센티브 받는 디자이너 / 브랜드의 시작 BM 채용,입사지원,"마케팅기획, 콘텐츠기획, BM(브랜드매니저), 광고디자인, 디지털디자인",경기부천시,경력무관,학력무관,정규직
소노바코리아(유),Repair Specialist,입사지원,"기술지원, A/S기사, 고객안내, 고객응대, 기계수리",서울성동구,신입·경력,고졸↑,정규직
(주)테이텀,백엔드 개발자 (경력 3년~5년),점핏에서 지원,"머신러닝, 딥러닝, Python, 웹개발, 백엔드/서버개발",서울강남구,경력 3~5년,대졸↑,정규직
(주)포터블뉴트리션,"[건강기능식품 쇼핑몰]콘텐츠 마케터(신입,경력,팀장)정규직채용",입사지원,"마케팅기획, 마케팅전략, 블로그마케팅, 체험마케팅, SNS마케팅",서울강서구,경력무관,고졸↑,정규직
(주)디파이,[DFX] 플래닝팀 인턴 모집,입사지원,"마케팅기획, SNS마케팅, 디지털마케팅, 퍼포먼스마케팅, AE(광고기획자)",서울강남구,신입,학력무관,인턴직
한국과학기술연구원,2025년 3월 연수직(연구인턴) 공개채용(스마트팜융합연구센터),홈페이지 지원,"딥러닝, 연구원, R&D, R&D기획, 작물재배",강원강릉시,경력무관,대졸↑,인턴직
한국과학기술연구원,2025년 3월 연수직(연구인턴) 공개채용(뇌융합연구단),홈페이지 지원,"모델링, 연구원, R&D, R&D기획, 세포배양",서울성북구,경력무관,대졸↑,인턴직
(주)직방,[직방] QA Engineer,홈페이지 지원,"QA/테스터, 인터넷부동산",서울강남구,경력5년↑,대졸↑,정규직
(주)아고스,[R&D] 기업부설연구소 연구원 채용,입사지원,"백엔드/서버개발, 알고리즘, 연구원, R&D, 소프트웨어개발",서울금천구,경력무관,대졸↑,정규직
(주)마야크루,[채용연계형/3개월 인턴] 퍼포먼스 마케터,홈페이지 지원,"마케팅기획, 마케팅전략, SNS마케팅, 콘텐츠기획, 광고마케팅",서울마포구,신입,대졸↑,인턴직
(주)바로고,[바로고] IR(Investor Relationship) 담당자,홈페이지 지원,"IR/공시, 경영기획, 경영분석, SI·시스템통합, 솔루션업체",서울강남구,경력3년↑,학력무관,정규직
에이치엘만도(주),[HL만도/판교] 연구지원 계약직 채용,홈페이지 지원,"R&D기획, 자동차부품",경기성남시 분당구,경력무관,학력무관,기간제·계약직
에이치디씨리조트(주),[HDC 리조트 오크밸리] 인사팀 (인사기획/건설노무) 경력직 채용,입사지원,"경영지원, 노무사, ER(노무관리), HRM, 급여(Payroll)",강원원주시,경력 3~15년,초대졸↑,정규직
네이버클라우드(주),NAVER Cloud] 춘천 데이터센터 자동제어 담당,홈페이지 지원,"자동제어, 자동제어, 종합포털",강원춘천시,경력3년↑,학력무관,정규직
국립중앙의료원,무기계약직 연구원(책임의료기관지원팀) 채용 공고,홈페이지 지원,"연구원, 사업기획, 경영컨설팅, 데이터분석, 사업관리",서울중구,경력무관,대졸↑,무기계약직·계약직
(재)한국건설생활환경시험연구원,"한국건설생활환경시험연구원 과제계약직 모집(강원, 인천, 밀양)",홈페이지 지원,"연구원, 재단법인",강원삼척시,경력무관,대졸↑,기간제·계약직
화성코스메틱(주),[화성코스메틱] MPD본부(기술연구소) 부문별 신입/경력 모집,입사지원,"R&D, 화장품, 화장품",서울강서구,신입·경력,대졸↑,정규직
나이스평가정보(주),기술평가전문인력 모집 공고,접수방법 확인,"특허명세사, 기술사업화, 문서작성, 사무행정, 상표관리",서울영등포구,신입·경력,대졸↑,계약직·인턴직
(주)세라컴,기술연구소 연구원 모집(계약직),입사지원,"연구원, 기술연구, 데이터분석, 세라믹, 공학",충남아산시,신입·경력,초대졸↑,계약직
한국인터텍테스팅서비스(주),한국인터텍테스팅서비스 섬유분석시험원 정규직 채용,입사지원,"섬유/의류, 섬유, 섬유공학",서울성동구,경력무관,초대졸↑,정규직
유니소재(주),[신입/경력] 유니소재(주) 실험실 연구원 모집,입사지원,"연구원, 실험보조, 무역업, 수입유통",충북음성군,경력무관,대졸↑,정규직
(주)야놀자,[야놀자 리서치] 연구원 상시 채용,홈페이지 지원,"연구원, 기술연구, 종합포털, 컨텐츠제공",서울강남구,경력무관,학력무관,정규직
단암시스템즈(주),단암시스템즈 원가팀 경력 모집,입사지원,"전산회계, 회계사, 관리회계, 원가회계, 재무회계",경기안양시 동안구,경력2년↑,대졸↑,정규직
(주)맨파워코리아,&용인/중식제공/셔틀 외국계 의약품기업 RA Specialist 직원채용,입사지원,"RA, CRA(임상연구원), CRM(임상연구전문가), R&D, R&D기획",경기용인시 기흥구,경력1년↑,대졸↑,계약직
(주)다산제약,(주)다산제약 부문별 (신입/경력) 채용,입사지원,"구매관리, 재고관리, 구매기획, SCM, 수/발주",서울영등포구,신입·경력,초대졸↑,정규직
(주)다산제약,제약사 경영기획실 경력사원 채용,입사지원,"관리회계, 손익관리, 경영기획, 경영분석, 경영관리",서울영등포구,경력,초대졸↑,정규직
(주)미리디,"[미리캔버스] 그래픽 디자이너(템플릿) (3,500 이상)",홈페이지 지원,"광고디자인, 그래픽디자인, 디지털디자인, 로고디자인, 모바일디자인",서울구로구,경력 2~6년,학력무관,정규직
가천대학교산학협력단,가천대학교 한의과대학 석사급 R&D연구원 모집,입사지원,"연구원, R&D기획, 기술연구, 동물실험, 미생물",경기성남시 수정구,경력무관,석사↑,무기계약직·계약직
엔에이치엔(주),[NHN JAPAN] 인사 기획 도쿄 현지 채용,홈페이지 지원,"인사기획, 인사기획, 인사, 소프트웨어개발",일본,경력2년↑,학력무관,정규직
휴먼플러스(주),[품질관리] 경력자 모집: 품질보증팀 업무 경력자 (주,입사지원,"품질분석, 품질관리, 품질보증, 자동차부품",대구달서구,경력3년↑,학력무관,정규직
(재)한국산업관계연구원,[한국산업관계연구원] 원가분석 분야 연구원 모집,입사지원,"예산관리, 원가관리, 원가회계, 재무제표, 재무회계",대구동구,경력무관,대졸↑,정규직
스푼랩스,"[스푼랩스] 급여담당자 (1년 계약직, 근무 요일&시간 협의가능)",홈페이지 지원,"HRM, 급여(Payroll), 인사, 소프트웨어개발",서울강남구,경력1년↑,학력무관,계약직
국립암센터,[국립암센터] 박사후 연구원 모집 공고,입사지원,"생명과학, 유전체, 생물정보학, 단일세포시퀀싱, 통계모델링",경기고양시 일산동구,경력무관,석사↑,계약직
(주)티오더,[t'order Inc.] 물류 담당자 모집,입사지원,"물류관리, 자재관리, 재고관리, 창고관리, 물류기획",서울영등포구,경력무관,학력무관,정규직
(주)에스에이엠지엔터테인먼트,[SAMG] 플랫폼사업팀 AMD 및 영업관리 채용 (경력무관),입사지원,"영업관리, 영업지원, 영업마케팅, 온라인판매, 가맹점관리",서울강남구,경력무관,학력무관,정규직
대신자산신탁(주),[대신자산신탁(주)] 경력직원 수시채용 공고(감사 / 리스크관리),홈페이지 지원,"금융사무, 기업금융, 자산운용사, 증권사, 투자자문사",서울중구,경력2년↑,대졸↑,계약직
더라미(주),경영기획 채용,입사지원,"경영기획, 사업기획, 전략기획, 경영분석, 데이터분석",서울성동구,경력5년↑,대졸↑,정규직
(주)동우정공,[연구원] 연구소 직원 구인,입사지원,"연구원, CRM(임상연구전문가), R&D, R&D기획, 기술연구",경남양산시,신입·경력,대졸↑,정규직
한화시스템(주),한화시스템 함정 설계분야 경력사원 채용,홈페이지 지원,"구조해석/설계, 기계설계, 전자",경기성남시 분당구,경력5년↑,대졸↑,정규직
(주)엔텔스,[주38시간 근무/상장사] (주)엔텔스 자금 및 관리회계 정규직,입사지원,"더존, 회계, 재무, IT컨설팅",서울강남구,신입·경력,학력무관,정규직
한양대학교산학협력단,한양대학교 바이브로어쿠스틱스메디컬랩 연구원 모집,입사지원,"연구원, R&D, 의료기기연구, 임상시험, 연구원",서울성동구,경력무관,학력무관,기간제·계약직
(주)하이브랩,[링크스] 코스메틱 브랜드 뷰티 MD 채용,입사지원,"기획MD, 리테일MD, 바잉MD, 브랜드MD, 영업MD",경기성남시 분당구,경력 3~7년,학력무관,정규직
(주)케이피에프,KPF 충주공장 별정직 검사원 모집,입사지원,"품질검사원, 금속",충북충주시,경력무관,고졸↑,정규직
(주)케이엑스이노베이션,[KX이노베이션] 미래전략실 IR 담당자 모집,입사지원,"IR/공시, 경영분석, 데이터분석, 사업관리, 신사업기획",서울강동구,경력 3~8년,대졸↑,정규직
한국지능형교통체계협회,한국지능형교통체계협회 2025년도 제1차 채용 공고(교통/ITS),접수예정,"연구원, R&D기획, AI(인공지능), 교육기획, 데이터분석",경기안산시 상록구,경력무관,학력무관,정규직
(주)오픈한,오즈키즈 백화점 아울렛 매장 발주 출고 영업 관리 MD /신입가능,입사지원,"영업관리, 영업MD, 영업전략, 의류판매, 가맹점관리",서울성동구,경력무관,초대졸↑,정규직
(주)피엔에이치테크,진천 재료개발 연구원,입사지원,"연구원, 고분자, 기술연구, 유기합성, 이화학시험",충북진천군,신입·경력,대졸↑,정규직
차의과학대학교 분당차병원,분당차병원 정신건강의학과 신입/경력 석사급 연구원 채용 공고,입사지원,"R&D, 생명과학, 이미지프로세싱, 연구원",경기성남시 분당구,경력무관,대졸↑,계약직
(주)홀딩핸즈,[치킨플러스] 글로벌SCM(구매) 팀원 모집,입사지원,"구매관리, 구매기획, SCM, 3PL운영, 자재구매",서울마포구,경력 3~8년,대졸↑,정규직
(주)엔더블유컴퍼니,NOTHING WRITTEN 경력직 MD 채용,입사지원,"기획MD, 브랜드MD, 의류·의상",서울성동구,경력 3~5년,초대졸↑,정규직
(유)프리티스킨인터내셔널,화장품 SCM 신입/경력 채용,입사지원,"영업지원, 구매관리, 재고관리, SCM, 수/발주",서울중구,경력무관,학력무관,정규직
(주)베르티스,[베르티스] 바이오마커연구팀 채용,입사지원,"연구원, R&D, 바이오, 생명공학",경기과천시,경력1년↑,석사↑,정규직
(주)아라종합기술,"해양 분야(기후분석, 생태환경) 신입/경력 연구원 채용",입사지원,"학술연구, 해양생태연구, 해양환경연구, 해양기후, 환경",인천연수구,경력무관,대졸↑,정규직·전문연구요원
(주)채정,"[정직유부] 프랜차이즈 슈퍼바이저(대구,경북 담당) 채용공고",입사지원,"영업관리, 영업지원, 영업직, 영업판촉, 슈퍼바이저",대구중구,경력무관,학력무관,정규직
(주)바이오포아,"연구소 석사급 연구원 모집 (경력, 선임급)",입사지원,"미생물, 바이러스, 생명과학, 제약/바이오, 백신",경기화성시,경력5년↑,석사↑,정규직
인포스탁(주),[인포스탁] 투자정보팀 신입직원 모집공고,입사지원,"증권사, 증권사, 펀드매니저, 애널리스트",경기성남시 분당구,신입,대졸↑,정규직
(주)제이앤티지,(주)제이앤티지 기술연구소 연료전지 신입/경력 연구원 모집,입사지원,"연구원, CRM(임상연구전문가), R&D, R&D기획, 고분자",경기화성시,경력무관,학력무관,정규직
(주)인라이플,[주4.5일 근무] 소싱 MD 채용,입사지원,"온라인판매, 기획MD, 리테일MD, 바잉MD, 브랜드MD",서울구로구,경력 3~10년,학력무관,정규직
(주)웨니,2025 상반기 기업부설연구소 연구원 채용 공고,입사지원,"연구원, R&D, R&D기획, 기술연구, 농업",서울성동구,신입·경력,초대졸↑,정규직
이시도르지속가능연구소(주),교육운영팀 채용,입사지원,"교육행정, 교육기획, 교육운영, 교육컨텐츠기획, 연구소",대구달성군,경력무관,학력무관,인턴직
하이베러(주),온라인영업팀 온라인MD 신입/경력사원 채용,입사지원,"B2C, 매출관리, 쇼핑몰관리, 실적관리, 정산관리",서울성동구,경력무관,학력무관,정규직
(주)에피바이오텍,[에피바이오텍]기업부설연구소 연구원 모집,입사지원,"연구원, 생명과학, 의약·제약, 바이오, 생명공학",인천연수구,경력무관,박사,정규직
(재)한국마이크로의료로봇연구원,한국마이크로의료로봇연구원 연구원 채용 공고,입사지원,"연구원, CRM(임상연구전문가), R&D, R&D기획, 고분자",광주북구,경력 2~10년,석사↑,계약직
(주)니어스랩,프로덕트 매니저(PM) 채용,입사지원,"기술기획, 사업기획, 상품기획, 서비스기획, 전략기획",서울송파구,경력5년↑,고졸↑,정규직
(주)더파운더즈,해외영업 글로벌 세일즈 담당,홈페이지 지원,"해외시장개척, 해외영업, B2B, B2C, 거래처관리",서울강남구,경력 1~10년,대졸↑,정규직
(주)메디웨일,임상연구 프로젝트 매니저,입사지원,"CRA(임상연구원), CRM(임상연구전문가), 임상시험, 임상DM, 임상PM",서울강남구,경력3년↑,대졸↑,정규직
(주)더파운더즈,아누아 그로스팀 매니저,홈페이지 지원,"경영기획, 전략기획, 컨설턴트, PL(프로젝트리더), PM(프로젝트매니저)",서울강남구,경력1년↑,초대졸↑,정규직
보로노이(주),[보로노이] 신약개발연구소 구조분석 연구원 채용,홈페이지 지원,"연구원, R&D, 생명과학, 제약/바이오, 의약·제약",인천연수구,경력무관,석사↑,정규직
엠엔비(주),[넷마블MNB] 사업관리팀 리더 채용,입사지원,"경영기획, 사업기획, 경영분석, 사업관리, 기획",서울구로구,경력5년↑,학력무관,정규직
(주)동구밭,(주)동구밭 브랜드사 국내영업팀 팀장급 경력직 채용,입사지원,"영업관리, 영업MD, 영업마케팅, 영업전략, 온라인판매",서울성동구,경력 5~12년,대졸↑,정규직·계약직
어썸엔터테인먼트(주),[경영지원팀] 재무/회계 담당자 채용,입사지원,"관리회계, 연말정산, 재무기획, 재무회계, 경영지원",서울성동구,경력2년↑,대졸↑,정규직·계약직
(주)코자,[스탠드오일] MD팀 오프라인 파트 인턴 (3개월),홈페이지 지원,"리테일MD, 브랜드MD, 오프라인MD, 유통MD, AMD",서울성동구,경력무관,대졸↑,인턴직
(주)티에스씨,(주)티에스씨  영업팀 영업관리 신입 사원 채용 공고,입사지원,"영업관리, B2B, 거래처관리, 거래처영업, 매출관리",경기시흥시,신입,대졸↑,정규직
시너지파트너즈(주),[시너지파트너즈] 정규직 채용 담당자 채용,입사지원,"사무직, 총무, 경영지원, 채용담당자, 잡매니저",서울강남구,경력 3~15년,대졸↑,정규직
GOPIZZA,[500억투자+] [GOPIZZA] 변화혁신팀,입사지원,"관리회계, 세무회계, 손익관리, 예산관리, 매출관리",서울종로구,경력5년↑,학력무관,정규직
(주)레이블코스메틱,㈜레이블코스메틱 [화장품 SCM(구매) 담당자] 경력직 채용,입사지원,"기획MD, 리테일MD, 브랜드MD, 온라인MD, 화장품",서울강남구,경력 1~8년,학력무관,정규직
벤라인에이전시즈코리아(주),컨테이너 대리점 선사 Inside Sales Coordinator 모집,입사지원,"포워더, 해상운송, 영업직, 포워더, 영업전략",서울중구,신입,초대졸↑,정규직
(주)한진투어,사무보조·문서작성(PowerPoint外 4개 부문) 채용,입사지원,"비서, 서무, 문서작성, 비품관리, 사무보조",전북전주시 완산구,경력무관,고졸↑,정규직
(주)와이지티,방위산업분야 품질관리 채용 - 경력무관,입사지원,"생산관리, QA, QC, 공정엔지니어, 자동화라인",경남창원시,경력무관,초대졸↑,정규직
(주)코튼88,[(주)코튼88] 서울 사무실 MD 채용,입사지원,"기획MD, 브랜드MD, 온라인MD, 유통MD, AMD",서울성동구,경력무관,초대졸↑,정규직
쿠팡풀필먼트서비스(유),[쿠팡CFS] ICQA Manager(물류센터 재고 관리자),입사지원,"구매관리, 재고관리, 창고관리, 구매기획, 자재구매",경기이천시,경력,학력무관,정규직
(주)세림향료,"[세림향료] 품질관리부(아르바이트,단기계약직)",입사지원,"동물실험, 미생물, 세포배양, 세포실험, 시료분석",경기성남시 중원구,신입,고졸↑,파트·인턴직
주식회사 우알롱,우알롱 2025년 확장 채용(국내 국외 온오프라인 영업 MD 부문),입사지원,"판매직, 해외영업, 해외영업관리, 해외영업지원, 영업MD",서울성동구,신입·경력,학력무관,정규직
충청산업보건연구원(주),"충청산업보건연구원(주) 인재채용공고-산업위생,작업환경측정팀",입사지원,"수질분석, 시료분석, 시료채취, 유해화학물질, 토양환경",충북청주시 서원구,경력무관,학력무관,정규직
쿠팡풀필먼트서비스(유),쿠팡[CFS] 경기이천 현장관리자(Team Captain)모집,입사지원,"물류관리, 유통업, 물류업, 물류센터",경기이천시,경력무관,학력무관,정규직
(주)다솔제약,화장품 및 의약외품 제조업 기업부설연구소 연구원 모집,입사지원,"연구원, CRM(임상연구전문가), R&D, R&D기획, 기술연구",경기김포시,경력무관,대졸↑,정규직·계약직
쿠팡풀필먼트서비스(유),[정규직 모집]쿠팡 경기광주3센터 현장관리자(Team Captain)채용,입사지원,"물류관리, 유통업, 물류업, 물류센터",경기광주시,경력무관,학력무관,정규직
(주)요아정,[요아정]프랜차이즈 본사 슈퍼바이저 경력채용,입사지원,"가맹점관리, 가맹점영업, 거래처관리, 매장관리, 매출관리",서울성동구,경력3년↑,초대졸↑,정규직
이미타사이언스(주),[이미타사이언스 주식회사]  R&D Center 연구원 채용,입사지원,"연구원, R&D, R&D기획, 기술연구, 생명과학",인천연수구,경력무관,대졸↑,정규직
(주)에코비젼21,기후변화&온실가스 컨설턴트(정규직/정규직전환형인턴) 모십니다,입사지원,"기후변화, 정책연구, CEO, CSR, ESG",서울성동구,경력무관,학력무관,정규직·인턴직
(주)밧틈,[외국계기업] 섬유수출 / chemical manager 경력직 모집,입사지원,"무역사무원, 수출입, 해외영업지원, 섬유/의류, 재고관리",대구서구,경력3년↑,대졸↑,정규직
(주)한국화학안전기술원,대기시료 분석 실험실 분석요원 모집 신입/경력 채용,입사지원,"대기측정분석사, 환경측정분석사, 시료분석, 대기측정분석, 환경분석",경기안산시 단원구,경력무관,학력무관,정규직
(주)페로카,유전자치료제 개발 QC연구원,입사지원,"연구원, R&D, R&D기획, 기술연구, 동물실험",경기과천시,경력1년↑,고졸↑,정규직
머티어리얼사이언스(주),[R&D 부문] OLED 유기합성 연구원(신입/경력) 채용,입사지원,"연구원, R&D, 고분자, 기술연구, 신소재",경기의왕시,경력무관,석사↑,정규직
(주)이큐브랩,이큐브랩 경영기획팀 CEO STAFF 정규직 (경력무관),입사지원,"전략기획, 컨설턴트, PL(프로젝트리더), PMO, PO(프로덕트오너)",서울구로구,경력무관,대졸↑,정규직
(주)브이티코스메틱,[VT코스메틱/리들샷] 패키지 디자이너 경력직 채용 (계약직),입사지원,"그래픽디자인, 모바일디자인, 브랜드디자인, 시각디자인, 잡화디자인",서울강남구,경력1년↑,초대졸↑,계약직
(주)굿바이옴텍,㈜굿바이옴텍 실험실 R&D 연구원 채용,입사지원,"연구원, 미생물, 생명과학, 제약/바이오, 바이오",충북청주시 서원구,경력,석사↑,계약직
(주)한국우주기술,인공위성 제품보증(품질) 연구원 채용(정규직),입사지원,"연구원, CRM(임상연구전문가), R&D, R&D기획, 기술연구",대전대덕구,경력무관,대졸↑,정규직
(주)유뱃,차세대전지 기술연구소 연구원 공개 채용(석사학위자 우대),입사지원,"연구원, 기술연구, 학술연구, 전기기술",대전유성구,경력무관,대졸↑,정규직
(주)더리얼그룹,더리얼그룹 Global HR Lead 채용(Global HR Lead Job Opening),입사지원,"HR컨설팅, 인사, 컨텐츠제공",서울성동구,경력무관,학력무관,정규직
진에딧코리아 유한회사,유전자전달체 연구 개발 석사/박사 연구원 모집,입사지원,"연구원, R&D, 의약·제약, 바이오, 생명공학",경기성남시 분당구,신입·경력,석사↑,정규직
(주)라이팩,2024년 (주)라이팩 개발직 & 생산직 신입/경력사원 채용,입사지원,"설계엔지니어, 회로설계, 장비제어, 불량분석, PCB",서울영등포구,경력무관,대졸↑,정규직
(주)요헤벳,식품(일반/건기식) 연구 및 개발 연구원 채용,입사지원,"연구원, 식품연구, 식품가공",경기안양시 동안구,경력무관,초대졸↑,정규직
(주)현텍엔바이오,R&D 신입/경력 연구원 모집[신약개발팀],입사지원,"연구원, R&D, 생명과학, 의약외품연구, 제약/바이오",서울관악구,경력무관,석사↑,정규직
사단법인 한국산업융합연구원,"건설클레임 연구원 정규직 모집 (신입, 경력)",입사지원,"연구원, R&D, 공무, 건축설계, 연구소",서울광진구,경력무관,대졸↑,정규직
(주)렛유인에듀,[렛유인에듀 콘텐츠LAB.] 교육 콘텐츠 기획자 모집,입사지원,"교육기획, 행사기획, 데이터분석, 교육운영, 교육컨텐츠개발",서울강남구,경력무관,대졸↑,정규직
사단법인희망조약돌,[안양본사]NGO 지원사업팀 회원관리(TM)인재 채용(인센티브有),입사지원,"영업관리, 영업직, 고객관리, 공공영업, 사회복지사",경기안양시 동안구,경력무관,학력무관,계약직
주식회사켐원(ChemOne Inc.),[배곧/(주)켐원] 기업부설연구소 유기합성 연구원 채용,입사지원,"연구원, R&D, 실험보조, 유기합성, 유해화학물질",경기시흥시,경력무관,초대졸↑,정규직
(주)하이브,[HYBE] SNS운영,홈페이지 지원,"SNS, 연예기획사, 엔터테인먼트",서울용산구,경력3년↑,대졸↑,정규직
(주)아이티에스노아,"환경, 안전, 보건 분야 전문 연구 인력 모집",입사지원,"연구원, R&D, 학술연구, 서비스기획, 웹기획",서울금천구,경력무관,대졸↑,정규직
주식회사엑소메틱스,[연구원] (주)엑소메틱스 R&D 센터 (연구개발팀),입사지원,"연구원, R&D, 기술연구, 생명과학, 세포배양",서울성동구,경력 3~10년,대졸↑,정규직
(주)더뮤지엄비지터,THE MUSEUM VISITOR 온라인MD 모집,입사지원,"온라인MD, 패션MD, 패션",서울성동구,경력2년↑,학력무관,정규직
(주)아이비알글로벌,[IBR GLOBAL] 글로벌한 시장을 함께 할 브랜드 디자이너 모집,입사지원,"기획MD, 리빙, 브랜드관리, 브랜드기획, 브랜드런칭",서울강남구,경력3년↑,학력무관,정규직
(주)글로비트,[(주)글로비트] 지역(경남&전남)센터 센터장 채용,입사지원,"생산관리, 장비/공구, 생산, 생산기술, 공정관리",전남목포시,경력,초대졸↑,정규직
(주)글로비트,[글로비트] 전략사업본부(기획/수산양식유통/스마트양식)채용,입사지원,"기술영업, 영업관리, 영업지원, 영업전략, IT영업",제주제주시,경력무관,학력무관,정규직
(주)비바엔에스,스마트팜 농업 연구원 채용공고,입사지원,"R&D, 농업, 소프트웨어개발",경기성남시 중원구,경력무관,대졸↑,정규직
(주)유니언스진,[연구개발보조] 연구원,입사지원,"CRA(임상연구원), CRC(연구간호사), CRM(임상연구전문가), 연구원, CRA(임상연구원)",서울구로구,신입·경력,대졸↑,계약직
(주)넥스트에너지코퍼레이션,전력계통영향평가분야 신입/경력 채용,입사지원,"경영분석, 데이터분석, 전기기사, 배전반설계, 전기설계",서울중구,신입·경력,대졸↑,정규직
(주)메테오바이오텍,메테오바이오텍 Bioinformatics 연구원 모집,입사지원,"연구원, 생명과학, 세포배양, 의료기기연구, 제약/바이오",서울관악구,경력무관,학력무관,계약직
(주)키로,[플랫화이트] 물류 총괄 책임자 모집합니다,입사지원,"생산관리, 물류관리, 재고관리, 입고/입하, 출고/출하",부산부산진구,경력무관,학력무관,정규직
(주)투디엠,탄소 및 이차원소재의 응용 및 이차전지 관련연구원 모집,입사지원,"기술연구, 신소재",경기파주시,경력무관,대졸↑,정규직
벨테라퓨틱스(주),소프트웨어 의료기기 RA/QA 팀원,입사지원,"제약QA, RA, 의약·제약",서울강남구,경력5년↓,대졸↑,정규직
전라남도농업기술원,전라남도농업기술원 농업빅데이터조사원(청년인턴) 2차 추가채용,입사지원,"연구원, R&D, 기술연구, 농업, 식품연구",전남나주시,신입,학력무관,기간제·계약직
(주)원인어헌드레드,[핀카] 경영지원(회계/총무/인사) 채용,입사지원,"경리, 경리사무원, 전산회계, 계산서발행, 관리회계",서울영등포구,신입·경력,초대졸↑,정규직
(주)코어덤,코어덤 화장품 임상시험 연구 부문 신입/경력 채용공고,입사지원,"연구원, 연구소",서울송파구,신입·경력,대졸↑,정규직
에이엠시사이언스(주),HD한국조선해양 AI 기반 신약개발 연구원 채용,홈페이지 지원,"AI(인공지능), 신약개발, 생물정보학, 바이오, 생명공학",경기성남시 분당구,신입·경력,대졸↑,정규직
경기외국어고등학교,경기외고 교육공무직원 모집공고(IB행정실무사),입사지원,"교육행정, 사무행정, 교육기관, 고등학교",경기의왕시,경력무관,대졸↑,계약직
(주)에이닉,[주 4.5일 근무] 운영 관리 담당자 (경력) 채용,입사지원,"정산관리, 데이터분석, 고객관리, SI·시스템통합",서울구로구,경력2년↑,대졸↑,정규직
(주)엠케이,기술연구소(정부과제기획) 연구원 모집,입사지원,"연구원, R&D, R&D기획, 고분자, 기술연구",경기화성시,경력무관,대졸↑,정규직
나노비크주식회사,비임상 효능평가 연구원 모집,입사지원,"연구원, 바이오",경기수원시 영통구,경력무관,석사↑,정규직
오비맥주(주)이천공장,[ABInbev Korea 오비맥주] 이천공장 ZITEC 사무직 채용 (계약직),홈페이지 지원,"물류관리, 생산, 기타제조업",경기이천시,경력무관,학력무관,계약직
(주)제트콘코리아,기술연구소 연구원(연구보조원)  채용,입사지원,"연구원, R&D, R&D기획, 기술연구, 생산관리",경기안성시,경력무관,고졸↑,정규직
호랑소,[리빙 브랜드]수출입 업무 경험이 있는 오퍼레이터를 모십니다,입사지원,"무역사무원, 거래처관리, 고객관리, 매출관리, 전자상거래",서울동대문구,경력4년↑,초대졸↑,정규직
(재)우리환경연구소,[우리환경연구소] 수질/토양 환경 분석직원 채용공고,입사지원,"연구원, 임상DM, 임상PM, CRA(임상연구원), CRM(임상연구전문가)",대구달서구,경력무관,대졸↑,계약직
(주)성진케미칼,[연구원] (주)성진케미칼 [기업부설연구소 연구개발팀],입사지원,"연구원, R&D, 고분자, 기술연구, 시료분석",대구달성군,경력무관,초대졸↑,정규직
주식회사 윌로그,[윌로그] 채용 담당자(Talent Acquisition) 경력직 채용,입사지원,"총무, 비품관리, 경영지원, HRM, 온보딩",서울강남구,경력 1~5년,학력무관,정규직
(주)화이트스캔,[국책과제 연구비정산/행정] 경력직 채용,홈페이지 지원,"경리, 전산회계, 더존, 4대보험, 급여(Payroll)",서울용산구,경력2년↑,초대졸↑,정규직
(주)화이트스캔,[사업관리] GIS 공간정보시스템 사업관리/기획 경력직 채용,홈페이지 지원,"경영기획, 사업기획, 서비스기획, 사업개발, 사업관리",서울용산구,경력2년↑,대졸↑,정규직
에이치에스네이처(주),[성수] 뷰티 신규 브랜드 온라인MD 모집 (신입/경력),입사지원,"기획MD, 바잉MD, 브랜드MD, 오프라인MD, 온라인MD",서울성동구,신입·경력,초대졸↑,정규직
(주)아이미소로,온라인 쇼핑몰 관리 및 상품관리/ 상품등록 및 제안/수발주 업무,입사지원,"영업전략, 온라인판매, 매출관리, 쇼핑몰관리, 수/발주",서울성동구,경력무관,학력무관,정규직
(주)굿스굿,한화이글스 야구배트보관함 제작 '제조업무' 직원 모심,입사지원,"생산관리, 조립, 자재관리, 자재구매, 제조업 회사본사",충남계룡시,경력무관,고졸↑,정규직
(주)씨티아이랩,"데이터분석:AI 모델 개발자(신입 및 경력 3년이상, 영어능통자)",접수예정,"데이터분석가, 머신러닝, 딥러닝, AI(인공지능), 솔루션",경기성남시 수정구,신입·경력,대졸↑,정규직
(주)하이미디어아카데미,[IBM X RedHat] AI Transformation AX Academy 2기 훈련생 모집,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 웹개발, 백엔드/서버개발",서울구로구,경력무관,학력무관,교육생
(주)트랜스코스모스코리아,[중식제공/주중5일/성남]포티투닷(현대 계열) 데이터라벨링 모집,입사지원,"데이터분석가, 아웃소싱, 파견대행",경기성남시 수정구,경력,학력무관,계약직·파견직
아주약품(주),아주홀딩스(주)  IT시스템 구축 및 운영담당 경력사원모집,홈페이지 지원,"데이터분석가, 기술지원, 유지보수, ERP, SAP",서울구로구,경력 2~8년,대졸↑,정규직
