기업명,최저_연봉,최고_연봉,평균_연봉
(주)코딧,"2,843만원","6,256만원","4,335만원"
(주)인크로스,"2,975만원","7,186만원","5,448만원"
솔트웨어(주),"2,900만원","6,471만원","4,312만원"
(주)엠투커뮤니티,"2,926만원","6,670만원","4,922만원"
(주)아이트럭,"3,065만원","7,107만원","5,265만원"
(주)아이리브,"4,213만원","8,732만원","8,123만원"
(주)딥인사이트,"4,052만원","8,795만원","7,666만원"
(주)날리지큐브,"3,439만원","7,642만원","6,291만원"
주식회사포인랩,"4,672만원","9,925만원","8,514만원"
국립중앙의료원,"3,530만원","6,941만원","6,827만원"
(주)파인앤애플시스템즈,"3,869만원","7,401만원","6,589만원"
알비에치(주),"3,770만원","8,134만원","6,730만원"
하이퍼커넥트 유한책임회사,"4,124만원","10,846만원","9,167만원"
(주)에이아이네이션,"3,480만원","8,153만원","6,969만원"
(주)포소드,"3,422만원","6,921만원","5,975만원"
(주)모핑아이,"2,806만원","6,368만원","4,464만원"
(주)리드워크,"2,576만원","5,769만원","3,596만원"
(주)시큐브,"3,411만원","7,803만원","6,447만원"
지미디어(주),"3,613만원","7,696만원","6,879만원"
(주)오션정보기술,"2,962만원","6,843만원","5,049만원"
(주)심네트,"3,012만원","6,735만원","5,224만원"
지니언스(주),"3,443만원","8,106만원","6,837만원"
(주)퀀텀에이아이,"2,987만원","6,805만원","5,128만원"
(주)로이드케이,"2,874만원","6,544만원","4,621만원"
(주)더컴퍼니,"2,705만원","6,119만원","4,192만원"
(주)에이아이트릭스,"3,896만원","9,168만원","7,968만원"
트리노드 주식회사,"3,459만원","8,608만원","6,354만원"
(주)어센트코리아,"3,426만원","7,933만원","6,494만원"
(주)아티언스,"3,072만원","7,027만원","5,308만원"
(주)다비오,"3,666만원","8,249만원","7,248만원"
이스트시큐리티,"3,521만원","8,122만원","6,792만원"
에이케이아이에스(주),"3,907만원","8,748만원","7,145만원"
(주)에프엘이에스,"2,208만원","5,215만원","2,649만원"
(주) 더블유닷에이아이,"4,597만원","9,045만원","7,858만원"
㈜다날,"3,184만원","7,971만원","5,766만원"
(주)제니스클라우드,"3,020만원","7,152만원","5,256만원"
카페24(주),"3,633만원","7,571만원","6,764만원"
에버엑스 주식회사,"3,448만원","7,192만원","6,011만원"
소방청,"2,453만원","5,264만원","3,601만원"
(주)바이오리서치에이아이,"2,835만원","5,970만원","4,383만원"
(주)노르마,"3,275만원","7,520만원","6,003만원"
(주)덱스터스튜디오,"2,744만원","6,208만원","4,336만원"
(주)퓨전소프트,"2,934만원","6,768만원","4,915만원"
(주)커넥트웨이브,"2,799만원","6,741만원","4,278만원"
(주)라텔앤드파트너즈,"3,339만원","7,272만원","5,849만원"
(주)토란,"3,347만원","6,724만원","5,566만원"
어니컴(주),"2,802만원","6,459만원","4,243만원"
(주)퍼스트씨앤디,"3,277만원","6,437만원","5,334만원"
(주)일만백만,"2,852만원","5,853만원","4,345만원"
인포그랩(유),"3,063만원","6,607만원","5,252만원"
(주)바딧,"2,934만원","6,200만원","4,751만원"
안진회계법인,"4,684만원","11,040만원","8,729만원"
(주)에프에스솔루션,"4,003만원","9,305만원","8,285만원"
(주)마크로밀엠브레인,"3,360만원","7,310만원","5,911만원"
(주)써로마인드,"3,604만원","8,011만원","6,468만원"
(사)한국정보통신진흥협회,"4,187만원","8,099만원","8,185만원"
(주)대교씨엔에스,"2,994만원","6,732만원","5,168만원"
(주)엔키아,"3,513만원","7,795만원","6,766만원"
이마고웍스(주),"3,270만원","7,474만원","6,002만원"
(주)디지티모빌리티,"2,958만원","6,888만원","4,982만원"
(주)스펙터,"3,642만원","7,544만원","6,629만원"
(주)아이에스컴퍼니,"2,811만원","5,830만원","4,485만원"
(주)한국이디에스,"2,625만원","6,263만원","3,845만원"
(주)유플러스아이티,"2,818만원","6,544만원","4,354만원"
(주)플레인비트,"3,056만원","6,823만원","5,240만원"
(주)지비소프트,"3,085만원","7,270만원","5,332만원"
(주)바이브온코퍼레이션,"2,998만원","6,829만원","5,172만원"
(주)나온소프트,"3,319만원","7,411만원","6,155만원"
팩트블록(주),"3,445만원","7,345만원","6,067만원"
(주)윕스,"3,202만원","6,901만원","5,681만원"
이데아텍(주),"2,944만원","6,755만원","4,997만원"
(주)라이너스,"2,466만원","5,517만원","3,308만원"
(주)알체라,"2,627만원","5,945만원","3,853만원"
㈜더아이엠씨,"2,596만원","6,059만원","4,014만원"
(주)아이넥스코퍼레이션,"3,656만원","7,747만원","6,955만원"
(주)파인더스,"2,794만원","5,547만원","4,141만원"
㈜지에스아이티엠,"3,585만원","8,343만원","7,438만원"
(주)파이오링크,"3,201만원","7,383만원","5,619만원"
이스트소프트,"3,081만원","7,289만원","5,481만원"
알서포트(주),"3,301만원","7,875만원","6,316만원"
주식회사비큐에이아이,"2,467만원","5,586만원","3,331만원"
(주)센트비,"3,442만원","7,657만원","6,201만원"
주식회사 자이온,"2,878만원","6,761만원","4,636만원"
(주)데일리페이,"3,970만원","8,102만원","7,047만원"
(주)보다나,"2,917만원","6,300만원","4,771만원"
(주)페이먼트인앱,"2,727만원","6,026만원","3,970만원"
(주)마인드에이아이,"3,229만원","7,419만원","5,636만원"
(주)엑스디노드,"2,931만원","6,073만원","4,465만원"
주식회사웨어러블에이아이,"2,575만원","5,276만원","4,007만원"
(주)피엠에스,"2,366만원","5,797만원","3,342만원"
(주)클럼엘,"3,970만원","9,085만원","8,179만원"
(주)이파피루스,"3,464만원","8,140만원","6,614만원"
(주)다이퀘스트,"3,315만원","7,353만원","6,141만원"
아토머스(주),"2,792만원","6,421만원","4,429만원"
(주)두플,"3,877만원","8,684만원","7,316만원"
엔아이티서비스 주식회사,"3,216만원","7,467만원","5,610만원"
(주)이씨에스텔레콤,"4,036만원","9,792만원","8,419만원"
(주)옵트에이아이,"2,959만원","6,745만원","5,017만원"
(주)소프트위즈,"2,898만원","6,835만원","4,828만원"
(주)위볼린,"2,799만원","6,242만원","4,277만원"
(주)에이텍씨앤,"2,631만원","6,015만원","4,107만원"
스마일샤크(주),"3,096만원","7,235만원","5,366만원"
(주)지오투정보기술,"3,112만원","6,945만원","5,405만원"
(주)메가웍스,"2,655만원","5,969만원","3,959만원"
(주)유투바이오,"2,910만원","7,166만원","4,776만원"
(주)클라우드네트웍스,"3,649만원","8,095만원","6,596만원"
(주)씽크풀,"2,977만원","6,559만원","5,024만원"
(주)에이아이콴텍,"4,078만원","8,936만원","7,421만원"
디토닉(주),"3,510만원","8,027만원","6,758만원"
(주)핀크,"4,377만원","9,249만원","8,179만원"
(주)펄어비스,"4,607만원","10,351만원","10,098만원"
(주)카카오뱅크,"5,065만원","11,143만원","10,706만원"
오픈헬스케어(주),"4,376만원","8,892만원","8,382만원"
아이넷캅,"2,995만원","6,889만원","5,053만원"
(주)지오비전,"3,420만원","7,901만원","6,216만원"
코나아이(주),"3,005만원","7,407만원","5,302만원"
(주)큐빅,"3,303만원","7,427만원","6,087만원"
(주)인사이터,"3,169만원","7,770만원","5,574만원"
피아스페이스(주),"2,946만원","6,345만원","4,945만원"
(주)텐소프트웍스,"2,646만원","5,950만원","3,925만원"
(주)에이아이구루,"4,311만원","9,144만원","7,833만원"
(주)엠폴,"3,036만원","6,994만원","5,309만원"
(주)레뷰코퍼레이션,"2,911만원","6,534만원","4,779만원"
비앤에프테크놀로지㈜,"3,075만원","7,069만원","5,463만원"
디에스글로벌 주식회사,"2,545만원","5,694만원","3,800만원"
(주)코아칩스,"3,670만원","7,511만원","6,575만원"
(주)업사이트,"2,453만원","4,653만원","3,055만원"
(주)포스로직,"3,165만원","7,179만원","5,676만원"
(주)씨에이에스,"3,148만원","7,410만원","5,521만원"
(주)쉬모스랩,"3,166만원","7,210만원","5,555만원"
(주)샌즈랩,"2,821만원","6,752만원","4,573만원"
법무법인와이케이,"3,569만원","7,831만원","6,679만원"
(주)엔텔스,"3,309만원","7,616만원","6,122만원"
(주)글로벌아이티정보기술,"3,113만원","6,008만원","4,938만원"
퓨렌스(주),"2,891만원","6,562만원","4,687만원"
핌즈(주),"3,029만원","6,977만원","5,282만원"
(주)그레이비랩,"3,461만원","7,127만원","5,979만원"
세종지능경영원(주),"2,666만원","5,572만원","3,780만원"
(주)스탠스,"3,036만원","6,994만원","5,308만원"
나두모두,"2,553만원","5,759만원","3,854만원"
(주)싸이트플래닝건축사사무소,"2,898만원","6,520만원","4,847만원"
(주)글로벌머니익스프레스,"2,653만원","6,565만원","4,096만원"
(주)엘앤제이테크,"2,813만원","6,251만원","4,219만원"
(주)알스퀘어,"3,706만원","7,323만원","6,687만원"
(주)지니수,"2,587만원","5,254만원","3,556만원"
(주)피닉스다트,"2,891만원","6,795만원","4,626만원"
(주)딥바이오,"3,730만원","8,054만원","6,783만원"
피엠인터내셔널코리아(유),"2,902만원","5,988만원","4,700만원"
(주)포스웨이브,"3,087만원","6,836만원","5,355만원"
(주)모비위드,"3,534만원","7,562만원","6,642만원"
(주)데이터쿡,"3,088만원","6,955만원","5,337만원"
넥스트리서치(주),"3,745만원","7,874만원","6,794만원"
딥퓨전에이아이(주),"4,492만원","8,289만원","8,102만원"
(주)뉴로코어,"3,160만원","7,364만원","5,545만원"
(주)비지에프네트웍스,"3,430만원","7,051만원","6,048만원"
(주)씨어스테크놀로지,"3,664만원","7,598만원","6,598만원"
(주)엠오브에스,"2,914만원","6,436만원","4,869만원"
(주)메쥬,"3,186만원","7,088만원","5,588만원"
(주)티라유텍,"3,269만원","7,443만원","5,996만원"
111퍼센트(주),"3,727만원","8,127만원","6,750만원"
(주)와이즈스톤,"3,044만원","6,834만원","5,340만원"
슈퍼센트(주),"3,142만원","7,070만원","5,509만원"
(주)브이씨,"3,138만원","6,844만원","5,437만원"
(주)휴먼아이티에스,"3,053만원","6,828만원","5,229만원"
엔시큐어(주),"3,119만원","7,546만원","5,434만원"
(주)세이코어,"2,771만원","6,604만원","4,416만원"
위즈코어(주),"3,464만원","7,979만원","6,902만원"
(주)한국픽셀,"2,494만원","5,374만원","3,659만원"
(주)이엠솔루션,"2,793만원","6,340만원","4,412만원"
(주)케이엠에스테크놀로지,"3,429만원","7,724만원","6,484만원"
(주)아이디에스앤트러스트,"3,305만원","7,674만원","6,228만원"
(주)밸류그램컴퍼니,"2,535만원","5,316만원","3,408만원"
㈜동화엔텍,"4,707만원","9,326만원","8,940만원"
아주약품(주),"3,613만원","7,923만원","6,729만원"
(주)엠지데이터시스템,"3,528만원","8,042만원","6,797만원"
(주)올랩컴퍼니,"3,118만원","6,876만원","5,412만원"
(주)두핸즈,"2,867만원","5,995만원","4,626만원"
주식회사 부릉,"3,599만원","7,695만원","6,780만원"
한영회계법인,"4,695만원","11,473만원","8,763만원"
(주)에코브레인,"3,382만원","7,026만원","5,946만원"
(주)야놀자,"3,822만원","8,522만원","7,785만원"
투아이시스(주),"3,479만원","7,541만원","6,344만원"
